row_id concept1 concept1_nbr_inst concept1_nbr_unique_instances concept2 concept2_nbr_inst concept2_nbr_unique_instances inter_no_sameas inter_with_sameas union_no_sameas union_with_sameas jacc_no_sameas jacc_with_sameas isSubset_LOD isSubset_no_sameAs isSubset_with_sameas diff_with_sameas
36 http://xmlns.com/foaf/0.1/Agent 2939619 2938090 http://www.cyc.com/2004/06/04/cyc#Agent 2 2 2 2 2939619 2938090 0.0 0.0 False True True 0
37 http://purl.org/ontology/mo/Performance 2314082 2314082 http://umbel.org/umbel/sc/MusicalPerformance 8 8 0 0 2314090 2314090 0.0 0.0 False False False 0
39 http://purl.org/NET/c4dm/event.owl#Event 2276490 2276490 http://linkedevents.org/ontology/Event 44 44 0 0 2276534 2276534 0.0 0.0 False False False 0
40 http://purl.org/NET/c4dm/event.owl#Event 2276490 2276490 http://umbel.org/umbel/sc/Event 320 320 0 0 2276810 2276810 0.0 0.0 False False False 0
41 http://dbpedia.org/ontology/Work 1872799 1553909 http://schema.org/CreativeWork 1698477 1379690 1690208 1371421 1881068 1562178 0.8985 0.8779 False False False -2.29
42 http://purl.org/ontology/bibo/Periodical 1497935 1497935 http://umbel.org/umbel/sc/PeriodicalSeries 89 89 0 0 1498024 1498024 0.0 0.0 False False False 0
43 http://d-nb.info/standards/elementset/gnd#CorporateBody 1109347 1109347 http://xmlns.com/foaf/0.1/Organization 164175 164175 0 0 1273522 1273522 0.0 0.0 False False False 0
44 http://www.w3.org/2002/07/owl#Ontology 980579 980579 http://www.schemaweb.info/schemas/meta/rdf/Schema 240 240 0 0 980819 980819 0.0 0.0 False False False 0
45 http://dbpedia.org/ontology/AdministrativeRegion 924797 670507 http://schema.org/AdministrativeArea 905974 651780 905974 651780 924797 670507 0.9796 0.9721 False True True -0.77
46 http://dbpedia.org/ontology/Organisation 819931 712003 http://www4.wiwiss.fu-berlin.de/dailymed/resource/dailymed/organization 799 799 0 0 820730 712802 0.0 0.0 False False False 0
47 http://dbpedia.org/ontology/Organisation 819931 712003 http://www.ontologydesignpatterns.org/ont/dul/DUL.owl#SocialPerson 342486 342424 342486 342424 819931 712003 0.4177 0.4809 False True True 15.13
48 http://dbpedia.org/ontology/Organisation 819931 712003 http://schema.org/Organization 781269 673516 781262 673509 819938 712010 0.9528 0.9459 False False False -0.72
49 http://dbpedia.org/ontology/Wikidata:Q532 735062 735056 http://dbpedia.org/ontology/Village 490198 488712 165670 165724 1059590 1058044 0.1564 0.1566 False False False 0.13
50 http://lsdis.cs.uga.edu/projects/semdis/opus#Article_in_Proceedings 613760 613760 http://purl.org/net/nknouf/ns/bibtex#Inproceedings 1289 1289 0 0 615049 615049 0.0 0.0 False False False 0
51 http://dbpedia.org/ontology/Album 575512 488901 http://wikidata.dbpedia.org/resource/Q482994 123374 123374 123374 123374 575512 488901 0.2144 0.2523 False True True 17.68
52 http://dbpedia.org/ontology/Album 575512 488901 http://schema.org/MusicAlbum 529458 442885 529458 442885 575512 488901 0.92 0.9059 False True True -1.53
53 http://www.w3.org/2006/vcard/ns#VCard 559569 559569 http://www.w3.org/2006/vcard/ns#Kind 2 2 0 0 559571 559571 0.0 0.0 False False False 0
54 http://purl.org/rss/1.0/channel 546941 546941 http://purl.org/net/rss1.1#Channel 52 52 47 47 546946 546946 0.0001 0.0001 False False False 0
55 http://linkedgeodata.org/ontology/Restaurant 420956 420956 http://dbpedia.org/ontology/Restaurant 2633 2579 0 0 423589 423535 0.0 0.0 False False False 0
56 http://linkedgeodata.org/ontology/Restaurant 420956 420956 http://schema.org/Restaurant 2633 2579 0 0 423589 423535 0.0 0.0 False False False 0
57 http://xmlns.com/foaf/0.1/Image 386960 386960 http://purl.org/ontology/bibo/Image 9381 9380 4 4 396337 396336 0.0 0.0 False False False 0
58 http://lsdis.cs.uga.edu/projects/semdis/opus#Article 386481 386481 http://purl.org/net/nknouf/ns/bibtex#Article 1396 1396 0 0 387877 387877 0.0 0.0 False False False 0
59 http://www.aktors.org/ontology/portal#Project 382785 382785 http://swrc.ontoware.org/ontology#Project 344 344 0 0 383129 383129 0.0 0.0 False False False 0
60 http://www.aktors.org/ontology/portal#Project 382785 382785 http://xmlns.com/foaf/0.1/Project 4484 4484 0 0 387269 387269 0.0 0.0 False False False 0
61 http://dbpedia.org/ontology/City 381256 337964 http://schema.org/City 365174 322255 365174 322255 381256 337964 0.9578 0.9535 False True True -0.45
62 http://dbpedia.org/ontology/Event 330606 286219 http://schema.org/Event 327832 283469 327817 283454 330621 286234 0.9915 0.9903 False False False -0.12
63 http://dbpedia.org/ontology/Event 330606 286219 http://www.ontologydesignpatterns.org/ont/dul/DUL.owl#Event 45377 45377 45377 45377 330606 286219 0.1373 0.1585 False True True 15.44
64 http://dbpedia.org/ontology/Film 317078 202845 http://dbpedia.org/ontology/Wikidata:Q11424 87282 87282 87282 87282 317078 202845 0.2753 0.4303 False True True 56.3
65 http://dbpedia.org/ontology/Film 317078 202845 http://schema.org/Movie 296548 182332 296548 182332 317078 202845 0.9353 0.8989 False True True -3.89
66 http://dbpedia.org/ontology/BodyOfWater 291042 260836 http://schema.org/BodyOfWater 283135 252931 283135 252931 291042 260836 0.9728 0.9697 False True True -0.32
67 http://rdfs.org/sioc/ns#User 270003 270003 http://rdf.myexperiment.org/ontologies/base/User 5 5 0 0 270008 270008 0.0 0.0 False False False 0
68 http://rdfs.org/sioc/ns#User 270003 270003 http://rdf.myexperiment.org/ontology#User 1 1 0 0 270004 270004 0.0 0.0 False False False 0
69 http://rdfs.org/sioc/ns#User 270003 270003 http://www.w3.org/2000/10/swap/pim/contact#Person 12610 12609 0 0 282613 282612 0.0 0.0 False False False 0
70 http://rdfs.org/sioc/ns#User 270003 270003 http://rdfs.org/sioc/ns#UserAccount 9242 9242 15 15 279230 279230 0.0001 0.0001 False False False 0
71 http://dbpedia.org/ontology/Book 269350 254840 http://schema.org/Book 262300 247795 262298 247793 269352 254842 0.9738 0.9723 False False False -0.15
72 http://swrc.ontoware.org/ontology#Organization 247549 247549 http://lsdis.cs.uga.edu/projects/semdis/opus#Publishing_Organization 331 331 0 0 247880 247880 0.0 0.0 False False False 0
73 http://swrc.ontoware.org/ontology#Organization 247549 247549 http://xmlns.com/foaf/0.1/Organization 164175 164175 0 0 411724 411724 0.0 0.0 False False False 0
74 http://rdfs.org/sioc/ns#Post 229857 229857 http://webenemasuno.linkeddata.es/ontology/OPMO/Post 16248 16248 0 0 246105 246105 0.0 0.0 False False False 0
75 http://www.w3.org/2006/time#Instant 229104 229104 http://purl.org/NET/c4dm/timeline.owl#Instant 85 85 0 0 229189 229189 0.0 0.0 False False False 0
76 http://dbpedia.org/ontology/SportsEvent 219389 192956 http://schema.org/SportsEvent 218615 192182 218615 192182 219389 192956 0.9965 0.996 False True True -0.05
77 http://www.aktors.org/ontology/portal#Organization 203218 203218 http://xmlns.com/foaf/0.1/Organization 164175 164175 0 0 367393 367393 0.0 0.0 False False False 0
78 http://dbpedia.org/ontology/Stream 181147 158437 http://linkedgeodata.org/ontology/Stream 13226 13226 0 0 194373 171663 0.0 0.0 False False False 0
