row_id concept1 concept1_nbr_inst concept1_nbr_unique_instances concept2 concept2_nbr_inst concept2_nbr_unique_instances inter_no_sameas inter_with_sameas union_no_sameas union_with_sameas jacc_no_sameas jacc_with_sameas isSubset_LOD isSubset_no_sameAs isSubset_with_sameas diff_with_sameas
1 http://xmlns.com/foaf/0.1/Person 132919327 130511135 http://dbpedia.org/ontology/Person 6568866 4366253 6298105 4108005 133190088 130769383 0.0473 0.0314 False False False -33.62
2 http://xmlns.com/foaf/0.1/Person 132919327 130511135 http://www.aktors.org/ontology/portal#Person 7971173 7971102 0 202 140890500 138482035 0.0 0.0 False False False 0
3 http://xmlns.com/foaf/0.1/Person 132919327 130511135 http://mycampus.cs.cmu.edu/ontology/foo#Person 5 5 0 0 132919332 130511140 0.0 0.0 False False False 0
4 http://xmlns.com/foaf/0.1/Person 132919327 130511135 http://www.mindswap.org/~golbeck/web/www04photo.owl#Person 4 4 0 0 132919331 130511139 0.0 0.0 False False False 0
5 http://xmlns.com/foaf/0.1/Person 132919327 130511135 http://swrc.ontoware.org/ontology#Person 1451951 1451948 453 451 134370825 131962632 0.0 0.0 False False False 0
6 http://xmlns.com/foaf/0.1/Person 132919327 130511135 http://www.daml.org/2002/03/tutorial/bushes#Person 2 2 0 0 132919329 130511137 0.0 0.0 False False False 0
7 http://xmlns.com/foaf/0.1/Person 132919327 130511135 http://www.w3.org/2000/10/swap/pim/contact#Person 12610 12608 896 894 132931041 130522849 0.0 0.0 True False False 0
8 http://xmlns.com/foaf/0.1/Person 132919327 130511135 http://www.mindswap.org/2004/www04photo.owl#Person 2 2 0 0 132919329 130511137 0.0 0.0 False False False 0
9 http://xmlns.com/foaf/0.1/Person 132919327 130511135 http://pervasive.semanticweb.org/ont/dev/person#Person 18 18 0 0 132919345 130511153 0.0 0.0 False False False 0
10 http://xmlns.com/foaf/0.1/Person 132919327 130511135 http://umbel.org/umbel/sc/Person 40983 40935 35156 38937 132925154 130513133 0.0003 0.0003 False False False 0
11 http://xmlns.com/foaf/0.1/Person 132919327 130511135 http://purl.org/ontology/po/Person 2 2 0 0 132919329 130511137 0.0 0.0 False False False 0
12 http://xmlns.com/foaf/0.1/Person 132919327 130511135 http://schema.org/Person 6287617 4102132 6287611 4102126 132919333 130511141 0.0473 0.0314 False False False -33.62
13 http://xmlns.com/foaf/0.1/Person 132919327 130511135 http://bblfish.net/work/atom-owl/2004-06-22/ns#Person 3 3 0 0 132919330 130511138 0.0 0.0 False False False 0
14 http://xmlns.com/foaf/0.1/Person 132919327 130511135 http://annotation.semanticweb.org/2004/iswc#Person 22 22 0 0 132919349 130511157 0.0 0.0 False False False 0
15 http://geovocab.org/spatial#Feature 30485678 30484781 http://www.geonames.org/ontology#Feature 7511689 7486164 0 76469 37997367 37894476 0.0 0.002 False False False 9999
16 http://purl.org/ontology/bibo/Book 27145467 26478938 http://dbpedia.org/ontology/Book 269350 195331 262001 190046 27152816 26484223 0.0096 0.0072 False False False -25.0
17 http://xmlns.com/foaf/0.1/Document 23789671 23414780 http://purl.org/ontology/bibo/Document 6371138 5801253 1291 1853284 30159518 27362749 0.0 0.0677 False False False 9999
18 http://xmlns.com/foaf/0.1/Document 23789671 23414780 http://schema.org/CreativeWork 1698477 1001441 8268 28705 25479880 24387516 0.0003 0.0012 False False False 300.0
19 http://xmlns.com/foaf/0.1/Document 23789671 23414780 http://eprints.org/ontology/Document 176586 176586 0 0 23966257 23591366 0.0 0.0 False False False 0
20 http://www.w3.org/2002/07/owl#Thing 19585983 13319939 http://www.w3.org/2002/07/owl#Nothing 8 8 0 0 19585991 13319947 0.0 0.0 True False False 0
21 http://www.w3.org/2003/01/geo/wgs84_pos#SpatialThing 17278700 16653581 http://www.cyc.com/2004/06/04/cyc#SpatialThing 6 6 3 3 17278703 16653584 0.0 0.0 False False False 0
22 http://purl.org/rss/1.0/item 16370239 16369963 http://purl.org/net/rss1.1#item 590 590 520 520 16370309 16370033 0.0 0.0 False False False 0
23 http://www.w3.org/2004/02/skos/core#Concept 11290130 8653929 http://d-nb.info/standards/elementset/gnd#SubjectHeading 9290 9290 0 0 11299420 8663219 0.0 0.0 False False False 0
24 http://dbpedia.org/ontology/Agent 7073693 4616870 http://www.ontologydesignpatterns.org/ont/dul/DUL.owl#Agent 4572769 3372332 4572769 3372332 7073693 4616870 0.6464 0.7304 False True True 13.0
25 http://dbpedia.org/ontology/Person 6568866 4366253 http://wikidata.dbpedia.org/resource/Q5 1445104 1442132 1445104 1442132 6568866 4366253 0.22 0.3303 False True True 50.14
26 http://dbpedia.org/ontology/Person 6568866 4366253 http://wikidata.dbpedia.org/resource/Q215627 1445104 1442132 1445104 1442132 6568866 4366253 0.22 0.3303 False True True 50.14
27 http://dbpedia.org/ontology/Person 6568866 4366253 http://www.ontologydesignpatterns.org/ont/dul/DUL.owl#NaturalPerson 4222256 3076090 4222256 3076090 6568866 4366253 0.6428 0.7045 False True True 9.6
28 http://dbpedia.org/ontology/Person 6568866 4366253 http://schema.org/Person 6287617 4102132 6287589 4102109 6568894 4366276 0.9572 0.9395 False False False -1.85
29 http://dbpedia.org/ontology/Place 4608221 2604529 http://schema.org/Place 4452038 2513646 4450541 2512154 4609718 2606021 0.9655 0.964 False False False -0.16
30 http://dbpedia.org/ontology/Place 4608221 2604529 http://dbpedia.org/ontology/Wikidata:Q532 735062 730767 735062 730767 4608221 2604529 0.1595 0.2806 False True True 75.92
31 http://schema.org/Place 4452038 2513646 http://purl.org/goodrelations/v1#Location 1492 1492 1492 1492 4452038 2513646 0.0003 0.0006 False True True 100.0
32 http://dbpedia.org/ontology/PopulatedPlace 3141847 1554463 http://dbpedia.org/ontology/Wikidata:Q532 735062 730767 480818 481638 3396091 1803592 0.1416 0.267 False False False 88.56
33 http://xmlns.com/foaf/0.1/Agent 2939619 2938063 http://purl.org/dc/terms/Agent 750 744 675 677 2939694 2938130 0.0002 0.0002 False False False 0
34 http://xmlns.com/foaf/0.1/Agent 2939619 2938063 http://purl.org/net/opmv/ns#Agent 1198 1198 0 0 2940817 2939261 0.0 0.0 False False False 0
35 http://xmlns.com/foaf/0.1/Agent 2939619 2938063 http://web.resource.org/cc/Agent 4967 4963 3 2 2944583 2943024 0.0 0.0 False False False 0
36 http://xmlns.com/foaf/0.1/Agent 2939619 2938063 http://www.cyc.com/2004/06/04/cyc#Agent 2 2 2 2 2939619 2938063 0.0 0.0 False True True 0
37 http://purl.org/ontology/mo/Performance 2314082 2314082 http://umbel.org/umbel/sc/MusicalPerformance 8 8 0 0 2314090 2314090 0.0 0.0 False False False 0
39 http://purl.org/NET/c4dm/event.owl#Event 2276490 2276490 http://linkedevents.org/ontology/Event 44 44 0 0 2276534 2276534 0.0 0.0 False False False 0
40 http://purl.org/NET/c4dm/event.owl#Event 2276490 2276490 http://umbel.org/umbel/sc/Event 320 319 0 0 2276810 2276809 0.0 0.0 False False False 0
41 http://dbpedia.org/ontology/Work 1872799 1149763 http://schema.org/CreativeWork 1698477 1001441 1690208 993173 1881068 1158031 0.8985 0.8576 False False False -4.55
42 http://purl.org/ontology/bibo/Periodical 1497935 1497935 http://umbel.org/umbel/sc/PeriodicalSeries 89 89 0 0 1498024 1498024 0.0 0.0 False False False 0
43 http://d-nb.info/standards/elementset/gnd#CorporateBody 1109347 1109343 http://xmlns.com/foaf/0.1/Organization 164175 164097 0 4 1273522 1273436 0.0 0.0 False False False 0
44 http://www.w3.org/2002/07/owl#Ontology 980579 980540 http://www.schemaweb.info/schemas/meta/rdf/Schema 240 240 0 0 980819 980780 0.0 0.0 False False False 0
45 http://dbpedia.org/ontology/AdministrativeRegion 924797 465238 http://schema.org/AdministrativeArea 905974 454279 905974 454279 924797 465238 0.9796 0.9764 False True True -0.33
46 http://dbpedia.org/ontology/Organisation 819931 547171 http://www4.wiwiss.fu-berlin.de/dailymed/resource/dailymed/organization 799 782 0 44 820730 547909 0.0 0.0001 False False False 9999
47 http://dbpedia.org/ontology/Organisation 819931 547171 http://www.ontologydesignpatterns.org/ont/dul/DUL.owl#SocialPerson 342486 291538 342486 291538 819931 547171 0.4177 0.5328 False True True 27.56
48 http://dbpedia.org/ontology/Organisation 819931 547171 http://schema.org/Organization 781269 519256 781262 519250 819938 547177 0.9528 0.949 False False False -0.4
49 http://dbpedia.org/ontology/Wikidata:Q532 735062 730767 http://dbpedia.org/ontology/Village 490198 371915 165670 183804 1059590 918878 0.1564 0.2 False False False 27.88
50 http://lsdis.cs.uga.edu/projects/semdis/opus#Article_in_Proceedings 613760 613760 http://purl.org/net/nknouf/ns/bibtex#Inproceedings 1289 1289 0 0 615049 615049 0.0 0.0 False False False 0
51 http://dbpedia.org/ontology/Album 575512 337745 http://wikidata.dbpedia.org/resource/Q482994 123374 122956 123374 122956 575512 337745 0.2144 0.364 False True True 69.78
52 http://dbpedia.org/ontology/Album 575512 337745 http://schema.org/MusicAlbum 529458 299541 529458 299541 575512 337745 0.92 0.8869 False True True -3.6
53 http://www.w3.org/2006/vcard/ns#VCard 559569 559569 http://www.w3.org/2006/vcard/ns#Kind 2 2 0 0 559571 559571 0.0 0.0 False False False 0
54 http://purl.org/rss/1.0/channel 546941 546934 http://purl.org/net/rss1.1#Channel 52 52 47 47 546946 546939 0.0001 0.0001 False False False 0
55 http://linkedgeodata.org/ontology/Restaurant 420956 420956 http://dbpedia.org/ontology/Restaurant 2633 2018 0 0 423589 422974 0.0 0.0 False False False 0
56 http://linkedgeodata.org/ontology/Restaurant 420956 420956 http://schema.org/Restaurant 2633 2018 0 0 423589 422974 0.0 0.0 False False False 0
57 http://xmlns.com/foaf/0.1/Image 386960 386960 http://purl.org/ontology/bibo/Image 9381 9372 4 4 396337 396328 0.0 0.0 False False False 0
58 http://lsdis.cs.uga.edu/projects/semdis/opus#Article 386481 386481 http://purl.org/net/nknouf/ns/bibtex#Article 1396 1396 0 0 387877 387877 0.0 0.0 False False False 0
59 http://www.aktors.org/ontology/portal#Project 382785 382785 http://swrc.ontoware.org/ontology#Project 344 344 0 0 383129 383129 0.0 0.0 False False False 0
60 http://www.aktors.org/ontology/portal#Project 382785 382785 http://xmlns.com/foaf/0.1/Project 4484 4477 0 0 387269 387262 0.0 0.0 False False False 0
61 http://dbpedia.org/ontology/City 381256 170682 http://schema.org/City 365174 165964 365174 165964 381256 170682 0.9578 0.9724 False True True 1.52
62 http://dbpedia.org/ontology/Event 330606 248984 http://schema.org/Event 327832 247185 327817 247170 330621 248999 0.9915 0.9927 False False False 0.12
63 http://dbpedia.org/ontology/Event 330606 248984 http://www.ontologydesignpatterns.org/ont/dul/DUL.owl#Event 45377 45212 45377 45212 330606 248984 0.1373 0.1816 False True True 32.27
64 http://dbpedia.org/ontology/Film 317078 156829 http://dbpedia.org/ontology/Wikidata:Q11424 87282 87098 87282 87098 317078 156829 0.2753 0.5554 False True True 101.74
65 http://dbpedia.org/ontology/Film 317078 156829 http://schema.org/Movie 296548 144114 296548 144114 317078 156829 0.9353 0.9189 False True True -1.75
66 http://dbpedia.org/ontology/BodyOfWater 291042 201466 http://schema.org/BodyOfWater 283135 195404 283135 195404 291042 201466 0.9728 0.9699 False True True -0.3
67 http://rdfs.org/sioc/ns#User 270003 269997 http://rdf.myexperiment.org/ontologies/base/User 5 5 0 0 270008 270002 0.0 0.0 False False False 0
68 http://rdfs.org/sioc/ns#User 270003 269997 http://rdf.myexperiment.org/ontology#User 1 1 0 0 270004 269998 0.0 0.0 False False False 0
69 http://rdfs.org/sioc/ns#User 270003 269997 http://www.w3.org/2000/10/swap/pim/contact#Person 12610 12608 0 0 282613 282605 0.0 0.0 False False False 0
70 http://rdfs.org/sioc/ns#User 270003 269997 http://rdfs.org/sioc/ns#UserAccount 9242 9241 15 15 279230 279223 0.0001 0.0001 False False False 0
71 http://dbpedia.org/ontology/Book 269350 195331 http://schema.org/Book 262300 190254 262298 190253 269352 195332 0.9738 0.974 False False False 0.02
72 http://swrc.ontoware.org/ontology#Organization 247549 247549 http://lsdis.cs.uga.edu/projects/semdis/opus#Publishing_Organization 331 331 0 0 247880 247880 0.0 0.0 False False False 0
73 http://swrc.ontoware.org/ontology#Organization 247549 247549 http://xmlns.com/foaf/0.1/Organization 164175 164097 0 1 411724 411645 0.0 0.0 False False False 0
74 http://rdfs.org/sioc/ns#Post 229857 229857 http://webenemasuno.linkeddata.es/ontology/OPMO/Post 16248 16248 0 0 246105 246105 0.0 0.0 False False False 0
