concept_id;concept_uri;nb_instances;inference;comment
1280;http://www.bardok.net/ontologies/2007/1/Libros.owl#Biblioteca;1;(with;inf)
1284;http://www.bardok.net/ontologies/2007/1/sencillo.owl#Libro;1;(no;inf)
1284;http://www.bardok.net/ontologies/2007/1/sencillo.owl#Libro;1;(with;inf)
1285;http://www.bardok.net/ontologies/2007/1/sencillo.owl#Book;1;(no;inf)
1285;http://www.bardok.net/ontologies/2007/1/sencillo.owl#Book;1;(with;inf)
1286;http://www.bardok.net/ontologies/2007/1/sencillo.owl#Liburu;1;(no;inf)
1286;http://www.bardok.net/ontologies/2007/1/sencillo.owl#Liburu;1;(with;inf)
1291;http://daml.umbc.edu/ontologies/cobra/0.4/space-basic#Country;1;(no;inf)
1291;http://daml.umbc.edu/ontologies/cobra/0.4/space-basic#Country;1;(with;inf)
1297;http://www.daml.org/2003/06/ruletests/ocean-ont#Country;1;(no;inf)
1297;http://www.daml.org/2003/06/ruletests/ocean-ont#Country;1;(with;inf)
1303;http://www.holger-kampffmeyer.de/DesignpatternsIntentOntology.owl#Abstraction;1;(no;inf)
1303;http://www.holger-kampffmeyer.de/DesignpatternsIntentOntology.owl#Abstraction;1;(with;inf)
1304;http://www.holger-kampffmeyer.de/DesignpatternsIntentOntology.owl#Generalization;1;(no;inf)
1304;http://www.holger-kampffmeyer.de/DesignpatternsIntentOntology.owl#Generalization;1;(with;inf)
1307;http://www.inf.puc-rio.br/~dani/sw/ontologies/2004/09/ciudades.owl#Ciudad;1;(no;inf)
1307;http://www.inf.puc-rio.br/~dani/sw/ontologies/2004/09/ciudades.owl#Ciudad;1;(with;inf)
1309;http://www.inf.puc-rio.br/~dani/sw/ontologies/2004/09/ciudades.owl#Pais;1;(no;inf)
1309;http://www.inf.puc-rio.br/~dani/sw/ontologies/2004/09/ciudades.owl#Pais;1;(with;inf)
1310;http://www.inf.puc-rio.br/~dani/sw/ontologies/2004/09/GeoMapRO.owl#Department;1;(no;inf)
1310;http://www.inf.puc-rio.br/~dani/sw/ontologies/2004/09/GeoMapRO.owl#Department;1;(with;inf)
1311;http://www.inf.puc-rio.br/~dani/sw/ontologies/2004/09/ciudades.owl#Departamento;1;(no;inf)
1311;http://www.inf.puc-rio.br/~dani/sw/ontologies/2004/09/ciudades.owl#Departamento;1;(with;inf)
1357;http://www.daml.org/tools/tools-ont#Project;1;(no;inf)
1357;http://www.daml.org/tools/tools-ont#Project;1;(with;inf)
1358;info:tef#Thesis;1;(no;inf)
1358;info:tef#Thesis;1;(with;inf)
1359;http://www.ndltd.org/standards/metadata/etdms/1.0/ETD-MS;1;(no;inf)
1359;http://www.ndltd.org/standards/metadata/etdms/1.0/ETD-MS;1;(with;inf)
