1.0	58
0.9966	1
0.9927	1
0.9916	1
0.9907	1
0.987	1
0.9847	1
0.9828	1
0.9777	1
0.9747	1
0.9743	1
0.9737	1
0.9701	1
0.9645	1
0.9632	1
0.9591	1
0.9589	1
0.9566	1
0.9517	1
0.95	1
0.9495	1
0.945	1
0.9434	1
0.9428	1
0.9396	1
0.9354	1
0.9289	1
0.9203	1
0.9121	1
0.9024	1
0.9016	1
0.8876	1
0.8864	1
0.8809999999999999	1
0.875	1
0.8667	1
0.858	1
0.8571	2
0.812	1
0.8	3
0.75	4
0.7307	1
0.7145	1
0.7143	3
0.7047	1
0.6667	7
0.6456	1
0.6313	1
0.6	3
0.5714	1
0.5562	1
0.534	1
0.5222	1
0.5	28
0.4918	1
0.4815	1
0.4444	2
0.4286	4
0.4209	1
0.4074	1
0.4	4
0.3889	1
0.3846	1
0.375	1
0.3684	2
0.3641	1
0.3333	12
0.3302	2
0.32299999999999995	1
0.321	1
0.3191	1
0.3171	1
0.3088	1
0.3	1
0.2907	1
0.2895	1
0.2857	4
0.2793	1
0.2656	1
0.2642	1
0.25	15
0.2492	1
0.2451	1
0.2344	1
0.2329	1
0.2308	1
0.2222	3
0.2162	1
0.2143	2
0.2128	1
0.2059	1
0.2031	1
0.2013	1
0.2	10
0.1935	1
0.1917	1
0.1915	1
0.1875	1
0.1815	1
0.1766	1
0.1765	1
0.1724	1
0.1667	4
0.1532	1
0.15	1
0.1489	1
0.1463	1
0.1429	6
0.14	1
0.1347	1
0.1333	1
0.1316	2
0.1295	1
0.1285	1
0.1277	1
0.1262	2
0.125	7
0.1238	1
0.1203	1
0.1176	1
0.1111	4
0.1087	1
0.1071	1
0.1039	1
0.1034	2
0.1026	2
0.1	2
0.09699999999999999	1
0.0945	1
0.0909	2
0.09	1
0.0882	1
0.0878	1
0.087	1
0.0833	4
0.0811	1
0.0769	3
0.0762	1
0.0747	1
0.0741	1
0.0738	1
0.0727	1
0.0714	2
0.069	1
0.0677	1
0.0667	2
0.0658	1
0.0656	1
0.0653	1
0.0625	1
0.0615	1
0.0588	3
0.0581	1
0.0567	1
0.0556	1
0.0526	1
0.0524	1
0.0488	1
0.0481	1
0.0471	1
0.0463	1
0.0462	1
0.0449	1
0.0435	1
0.0432	1
0.0417	2
0.0411	1
0.04	1
0.0385	2
0.0357	2
0.0349	1
0.0345	2
0.0314	2
0.0288	1
0.0256	1
0.0238	1
0.0204	2
0.0202	1
0.0175	2
0.0159	1
0.0155	1
0.0153	1
0.0152	2
0.0139	1
0.0134	1
0.0124	1
0.0112	1
0.0095	1
0.0072	1
0.0059	1
0.0057	1
0.0055	2
0.0027	1
0.0023	1
0.002	1
0.0016	1
0.0014	1
0.0012	3
0.001	1
0.0008	1
0.0006	3
0.0005	1
0.0003	3
0.0002	3
0.0001	7
0.0	333
