jacc_no_sameas	count
(-1.0, 0.0]	655
(0.0, 0.1]	17
(0.1, 0.2]	6
(0.2, 0.3]	5
(0.3, 0.4]	1
(0.4, 0.5]	5
(0.5, 0.6]	1
(0.6, 0.7]	3
(0.7, 0.8]	0
(0.8, 0.9]	4
(0.9, 1.0]	45
(1.0, 1.1]	0
