jacc_with_sameas	count
(-1.0, 0.0]	333
(0.0, 0.1]	113
(0.1, 0.2]	63
(0.2, 0.3]	40
(0.3, 0.4]	29
(0.4, 0.5]	38
(0.5, 0.6]	7
(0.6, 0.7]	9
(0.7, 0.8]	13
(0.8, 0.9]	9
(0.9, 1.0]	88
(1.0, 1.1]	0
